,idx,source_prompt,target_prompt,instructions
82,376843-input,"Tennis serve on blue court with green boarder, spectators on blue observation area.","Man in brown pants serves on blue court with green boarder, spectators on blue observation area.",Let the man wear brown pants.
83,54464-input,Two laptops are set on an unmade bed.,Two laptops and a heart pillow set on an unmade bed.,put a heart pillow next to the laptop
84,54464-output1,Two laptops and a heart pillow set on an unmade bed.,A heart pillow set on an unmade bed.,remove the laptop and leave a heart pillow
85,54464-output2,A heart pillow set on an unmade bed.,Heart pillow on an empty bed.,remove the other items from the bed
86,151050-input,A fake stop sign is shown in the grass.,A fake no entry sign is shown in the grass.,change the stop sign into a no entry sign
87,151050-output1,A fake no entry sign is shown in the grass.,A carved pumpkin sits next to a fake no entry sign in the grass.,add a carved pumpkin next to the sign
88,151050-output2,A carved pumpkin sits next to a fake no entry sign in the grass.,A woman jogging in the back as a carved pumpkin sits next to a fake no entry sign in the grass.,add a woman jogging in the back
89,222015-input,A clock with antique forks and spoons implemented as design.,An eye with antique forks and spoons implemented as design.,turn the clock into an eye
90,491098-input,A formally set dining table is adorned with fresh tulips.,A formally set dining table with fresh tulips and a bottle of wine.,What if there is a bottle of wine on the table?
91,491098-output1,A formally set dining table with fresh tulips and a bottle of wine.,"A formally set dining table with fresh tulips, a bottle of wine, and a drawing of a girl on the wall.",Let's add a drawing of a girl to the wall.
92,461252-input,A plate with some very tasty looking food items.,"A plate with some very tasty looking food items, including broccoli and bell peppers in the bowl.",let the bowl contain broccoli and bell peppers
93,461252-output1,"A plate with some very tasty looking food items, including broccoli and bell peppers in the bowl.","A plate with some very tasty looking food items, including broccoli and bell peppers in the bowl and an empty bun.",let there be empty bun instead of the sandwich
94,461252-output2,"A plate with some very tasty looking food items, including broccoli and bell peppers in the bowl and an empty bun.",Tasty food items including broccoli and bell peppers on a transparent glass plate with an empty bun.,let the food be on a transparent glass plate
95,294330-input,A home office with a desk and computers.,"A home office with a desk, leather bound books, and computers.",let the books be leather bound
96,294330-output1,"A home office with a desk, leather bound books, and computers.","A home office with a desk, leather bound books, and computers displaying code.",let the computer screens have code
97,294330-output2,"A home office with a desk, leather bound books, and computers displaying code.","A home office with a desk, leather bound books, and computers displaying code.",remove the chairs
98,65307-input,A pretty young lady playing a game of frisbee.,A pretty young lady playing a game of frisbee with a hat on.,Have the woman wear a hat.
99,373776-input,A bedroom with a modern look and distinct blue lights.,A bedroom with a modern look and distinct star-shaped blue lights.,Change the teardrop cutouts to be a star-shaped hole
100,163866-input,A woman is pulling a red suitcase down the side walk.,A woman is walking her dog and pulling a red suitcase down the sidewalk.,Let's add a dog to the left side of the woman.
101,393403-input,A large yellow and red double decker bus traveling down a street.,A large yellow and red train traveling down a street.,change the bus into a train
102,459898-input,Some animals run together in the tall grass.,"Some animals, including a wolf, run together in the tall grass.",change a zebra into a wolf
103,459898-output1,"Some animals, including a wolf, run together in the tall grass.","Some animals, including a wolf, run together in the tall grass with a bird perched on the back of a zebra.",add a bird on the zebra
104,161062-input,A plane on the runway under cloudy skies.,Empty runway under cloudy skies.,There should be no plane.
105,246924-input,A hand cutting up bell pepper on top of a wooden cutting board.,A hand cutting up bell pepper on top of a wooden cutting board.,Remove the hand hairs.
106,246924-output1,A hand cutting up bell pepper on top of a wooden cutting board.,A hand cutting up red bell pepper on top of a wooden cutting board.,Get rid of the green peppers.
107,482545-input,A cat drinking water from a toilet bowl.,An iguana drinking water from a toilet bowl.,Change the cat to an iguana
108,32818-input,A concrete bench posed by a tree trunk on a beach.,One person flies a kite while sitting on a concrete bench posed by a tree trunk on a beach.,have one person fly a kite
109,32818-output1,One person flies a kite while sitting on a concrete bench posed by a tree trunk on a beach.,One person flies a kite while sitting on a wooden bench posed by a tree trunk on a beach.,make one bench wood
110,32818-output2,One person flies a kite while sitting on a wooden bench posed by a tree trunk on a beach.,"One person flies a kite while sitting on a wooden bench posed by a tree trunk on a beach, with a bag of popcorn and a group of ducks.",add a bag of popcorn and a group of ducks
111,534041-input,a woman is feeding food to this small child,Cool kid alert! A woman is feeding food to this small child wearing sunglasses.,Have the boy be wearing sunglasses
112,536595-input,an image of a white fire hydrant on the side walk,An image of a red fire hydrant on the sidewalk,change the white and blue hydrant into red
113,536595-output1,An image of a red fire hydrant on the sidewalk,A friendly mascot posing with a red fire hydrant on the sidewalk,add a mascot
114,536595-output2,A friendly mascot posing with a red fire hydrant on the sidewalk,A friendly mascot posing with a red fire hydrant and a roadblock on the sidewalk,add a roadblock near the hydrant
115,279939-input,"A bathroom contains a toilet, sink, and bathtub.","A closed lid on a bathroom toilet, sink, and bathtub.",What if the lid was closed?
116,358653-input,The inside of a kitchen with different appliances,"The inside of a kitchen with different appliances, including a refrigerator with a fun drawing on it.",add drawing to the refrigerator
117,358653-output1,"The inside of a kitchen with different appliances, including a refrigerator with a fun drawing on it.","A cat perched on top of the freezer in a kitchen with various appliances, including a refrigerator with a fun drawing on it.",put a cat on top of the freezer
118,348966-input,Two donuts rest alongside an ice tea on a picnic table.,Two blue drinks and donuts on a picnic table.,Make the drinks blue.
119,338924-input,A pizza sitting on top of a plate on top of a wooden table.,A pizza sitting on top of a plate with a geranium plant on a wooden table.,change the basil plant into a geranium plant
120,338924-output1,A pizza sitting on top of a plate with a geranium plant on a wooden table.,A meat pizza sitting on top of a plate with a geranium plant on a wooden table.,turn the vegetable pizza into meat pizza
121,338924-output2,A meat pizza sitting on top of a plate with a geranium plant on a wooden table.,A meat pizza sitting on top of a round white plate with a geranium plant on a wooden table.,let the wooden tray be a round white plate
122,286724-input,A family of gray elephants standing side by side.,A family of gray elephants walking in the woods with no trees.,What if the elephants were walking in the woods with no trees?
123,88759-input,"A kitchen with a sink, washing machine, multiple cleaning supplies and shelves in it.","A fully equipped kitchen with a sink, washing machine, oven, multiple cleaning supplies and shelves in it.",put a oven on the kitchen
124,88759-output1,"A fully equipped kitchen with a sink, washing machine, oven, multiple cleaning supplies and shelves in it.","A fully equipped kitchen with a sink, washing machine, oven, multiple cleaning supplies, shelves, and a watermelon in it.",put a watermelon on the kitchen
125,360510-input,A cat laying on to of a car roof.,A cat laying on top of a truck roof.,change the car to a truck
126,360510-output1,A cat laying on top of a truck roof.,A cat laying on top of a truck roof with the sun shining on the building.,have the sun shine on the building
127,360510-output2,A cat laying on top of a truck roof with the sun shining on the building.,A cat laying on top of a truck roof with fishing poles and the sun shining on the building.,add fishing poles
128,208469-input,A square pizza sitting on top of a pan.,A round pizza sitting on top of a pan.,make the pizza round
129,208469-output1,A round pizza sitting on top of a pan.,A round pizza sitting on top of a pan with a glass nearby.,put a glass close to the pizza
130,8238-input,A man in a suit riding a motorcycle.,A man in a suit with a red tie riding a motorcycle.,Let the man wear a red tie.
131,543833-input,A simple glass vase with stems of lilies sits in front of a large window.,A blue glass vase with stems of lilies sits in front of a large window.,let the glass vase be blue
132,543833-output1,A blue glass vase with stems of lilies sits in front of a large window.,A blue glass vase and pot with stems of lilies sit in front of a large window.,let the pot next to the vase be blue
133,543833-output2,A blue glass vase and pot with stems of lilies sit in front of a large window.,A blue glass vase and pot with stems of lilies sit in front of a large window with a candle nearby.,add a candle near the pot
134,262710-input,A man in a black jacket walking on wet pavement looks down at his cell phone.,A cowboy in a black jacket walking on wet pavement looks down at his cell phone.,replace the cap with a cowboy hat
135,104081-input,a number of cows in a field near trees,Tractor and cows in a field near trees,let there be a tractor
136,104081-output1,Tractor and cows in a field near trees,"Log cabin, tractor, and cows in a field near trees",let there be a log cabin in the back
137,156195-input,Sheep graze in a large field with trees behind them.,Sheep graze in a large field with red-leaved trees behind them.,Change the trees to have red leaves
138,156195-output1,Sheep graze in a large field with red-leaved trees behind them.,Model posing with sheep in a large field with red-leaved trees behind them.,Have there be a model posing next to the sheep
139,161128-input,A curse word written on a traffic sign.,A parking sign in place of a curse word on a traffic sign.,change the no cursing sign to a parking sign
140,161128-output1,A parking sign in place of a curse word on a traffic sign.,A parking sign in place of a curse word on a traffic sign with a lightning bolt in the sky.,add a lightning bolt in the sky
141,161128-output2,A parking sign in place of a curse word on a traffic sign with a lightning bolt in the sky.,A cop car parked under a traffic sign with a parking sign in place of a curse word and a lightning bolt in the sky.,add a cop car
142,376839-input,A man holding a womans hand while she holds an umbrella.,A man holding a woman's hand while she holds an umbrella and a dog walks beside them.,Let's add a dog to it.
143,376839-output1,A man holding a woman's hand while she holds an umbrella and a dog walks beside them.,"A man holding a woman's hand while she holds an umbrella and a dog walks beside them, with the woman wearing a cowboy hat.",What if the woman had a cowboy hat.
144,475425-input,A floral dinner plate with a pulled pork sandwich and chips and a glass of milk on the side.,An empty floral dinner plate with a glass of milk on the side.,remove all the food from the plate
145,475425-output1,An empty floral dinner plate with a glass of milk on the side.,An empty floral dinner plate with a soda can on the side.,remove the milk glass and put a soda can in place
146,446522-input,A dog sitting on a chair underneath a painting.,A dog sitting on a chair underneath a painting in the dining room.,add the dinning room in the background
147,446522-output1,A dog sitting on a chair underneath a painting in the dining room.,A dog and cat sitting on a chair underneath a painting in the dining room.,Add a cat beside the dog.
148,446522-output2,A dog and cat sitting on a chair underneath a painting in the dining room.,A dog and cat sitting on a chair underneath a painting in the dining room with a floor lamp next to them.,Place a floor lamp next to the chair.
149,32777-input,A man that is walking next to a train.,A man with a backpack and hat walking next to a train.,Let's add a hat to the man with the backpack
150,383220-input,There's a snow man with a tennis racket on it,Squirrels playing tennis in the snow,remove the snowmen and add squirrels
151,383220-output1,Squirrels playing tennis in the snow,Squirrels playing tennis under the moonlight in the snow,make it night and add the moon
152,385190-input,Street art painted on the wall in an asian country.,Flower street art painted on the wall in an Asian country.,The painting should be of flowers.
153,319522-input,A herd of animals grazing on a lush green field.,A herd of white horses grazing on a lush green field.,Let the horses turn white.
154,67616-input,A restaurant with patrons in the outdoor eating area.,A red Lamborghini parked in front of a restaurant with patrons in the outdoor eating area.,Have a red Lamborghini parked in front
155,71409-input,A vintage red pick up truck is shown on a city street.,A vintage red pick up truck and a new car are shown on a city street.,Put a new car on the street.
156,71409-output1,A vintage red pick up truck and a new car are shown on a city street.,A vintage red pick up truck and a new car parked on a city street with a fire hydrant on the sidewalk.,Put a fire hydrant on the side walk.
157,125109-input,a white painted kitchen with an oven and a cooker,A white painted kitchen with an oven and a cooker on a red tile floor,change the wooden floor into a red tile floor
158,125109-output1,A white painted kitchen with an oven and a cooker on a red tile floor,"A white painted kitchen with an oven and a cooker on a red tile floor, featuring a blue vase of flowers.",let the flowers in the vase be blue
159,125109-output2,"A white painted kitchen with an oven and a cooker on a red tile floor, featuring a blue vase of flowers.","A white painted kitchen with a big chimney over the stove and a cooker on a red tile floor, featuring a blue vase of flowers.",let there be a big chimney over the stove
160,248403-input,A woman is sitting down outside eating pizza.,"A woman is sitting down outside with her mouth open, ready to eat pizza.",Open her mouth.
161,248403-output1,"A woman is sitting down outside with her mouth open, ready to eat pizza.","Blindfolded woman sitting outside with her mouth open, ready to eat pizza.",Blindfold her.
162,318657-input,Many kites flying in the sky on a cloudy day,Many kites flying in the sky with a spaceship on a cloudy day,Have there be a spaceship in the sky
163,89648-input,A crowd of people sitting down next to each other.,"A crowd of people sitting down next to each other, without a woman using a laptop.",Remove the woman using the laptop.
164,323789-input,Man in a uniform talking on a phone at a work desk.,Man in a uniform laughing while talking on a phone at a work desk.,make the man laugh
165,323789-output1,Man in a uniform laughing while talking on a phone at a work desk.,Man in a uniform laughing while talking on a phone at a work desk with a world map on the wall.,let there be a world map on the wall
166,323789-output2,Man in a uniform laughing while talking on a phone at a work desk with a world map on the wall.,Man with curly blonde hair in a uniform laughing while talking on a phone at a work desk with a world map on the wall.,let the man have curly blonde hair
167,278555-input,A man holding a surfboard stands on rocks and looks down at the ocean.,A man with a backpack and surfboard stands on rocks and looks down at the ocean.,What if he was with a backpack?
168,528266-input,a person on a couch with a box of pizza,Man on couch with a box of pizza covering his mouth with his hand,make the man cover his mouth with his hand
169,528266-output1,Man on couch with a box of pizza covering his mouth with his hand,Man on couch with an open box of pizza covering his mouth with his hand,let the pizza box be open
170,528266-output2,Man on couch with an open box of pizza covering his mouth with his hand,Man with crew cut hair on couch with an open box of pizza covering his mouth with his hand,let the man have crew cut hair
171,376990-input,A hand holds a hot dog while a little girl stands near.,A hand holds a sandwich while a little girl stands near.,Replace the hot dog with a sandwich.
172,376990-output1,A hand holds a sandwich while a little girl stands near.,A hand holds a sandwich while a little girl with a helmet stands near.,Replace the girl's beanie with a helmet.
173,60892-input,Two double beds in a hotel room with a logo on the comforter.,Two double beds in a hotel room with a logo on the comforter and a dog.,Add a dog.
174,60892-output1,Two double beds in a hotel room with a logo on the comforter and a dog.,Two double beds in a hotel room with a logo on the comforter and a dog.,Remove the phone.
175,532482-input,A green fire hydrant with three yellow concrete barriers around it.,A red fire hydrant with three yellow concrete barriers around it.,Make the hydrant red.
176,532482-output1,A red fire hydrant with three yellow concrete barriers around it.,A Dalmatian dog sitting next to a red fire hydrant with three yellow concrete barriers around it.,Add a Dalmatian dog.
177,532482-output2,A Dalmatian dog sitting next to a red fire hydrant with three yellow concrete barriers around it.,A Dalmatian dog sitting next to a red fire truck with three yellow concrete barriers around it.,Make the bus a fire truck.
178,494413-input,"A hot dog with cheese, onions and relish on a bun in a wrapper.","A hot dog with cheese, onions and relish on a bun in a wrapper with a fork sticking out.",Have there be with a fork sticking out of the hot dog
179,75216-input,A herd of cattle laying in the grass on the ground.,"A cow in a herd of cattle laying in the grass on the ground, mooing.",let a cow moo
180,75216-output1,"A cow in a herd of cattle laying in the grass on the ground, mooing.","A cow and a duck in a herd of cattle laying in the grass on the ground, mooing and quacking.",let there be a duck
181,75216-output2,"A cow and a duck in a herd of cattle laying in the grass on the ground, mooing and quacking.","A cow and a duck in a herd of cattle laying in the grass on the ground, mooing and quacking with a hut in the background.",let there be a hut at the back
182,328802-input,A zebra is in a shady tree lined enclosure.,Zebra drinking from a bucket in a shady tree lined enclosure.,make the zebra drink from a bucket
183,328802-output1,Zebra drinking from a bucket in a shady tree lined enclosure.,Zebra drinking from a bucket in a shady enclosure with lush green trees.,let the tree have dense green leaves
184,328802-output2,Zebra drinking from a bucket in a shady enclosure with lush green trees.,Thin and lanky zebra drinking from a bucket in a shady enclosure with lush green trees.,let the zebra be thin and lanky
185,324104-input,Birds surrounding an animal in the middle of a field.,Birds surrounding an animal in the middle of a field next to a river.,Can we put a river next to the field?
186,324104-output1,Birds surrounding an animal in the middle of a field next to a river.,Birds surrounding an animal in the middle of a field next to a river with majestic mountains in the background.,Can we have mountains on the background?
187,324104-output2,Birds surrounding an animal in the middle of a field next to a river with majestic mountains in the background.,Horse surrounded by birds in the middle of a field next to a river with majestic mountains in the background.,It should be a horse on the field.
188,137100-input,a close up of pizza on a plate,"A close up of pizza on a plate, ready to be eaten with your hands.",Get rid of the fork.
189,137100-output1,"A close up of pizza on a plate, ready to be eaten with your hands.","Close up of pizza on a cleared plate, ready to be eaten with your hands.",Clear the rest of the table.
190,137100-output2,"Close up of pizza on a cleared plate, ready to be eaten with your hands.","Close up of a sandwich on a cleared plate, ready to be eaten with your hands.",Replace the pizza with a sandwich.
191,229419-input,Three cows being herded by a dog inside a fenced in area.,A tractor herding three cows with the help of a dog inside a fenced in area.,add a tractor.
192,229419-output1,A tractor herding three cows with the help of a dog inside a fenced in area.,A tractor herding three horses with the help of a dog inside a fenced in area.,change the cows to horses
193,229419-output2,A tractor herding three horses with the help of a dog inside a fenced in area.,A tractor herding three horses with the help of a dog in a fenced-in cornfield.,make the field a cornfield.
194,188148-input,A person sitting on a bed and working on a laptop.,A person sitting on a bed and working on a laptop wearing glasses.,Let's add glasses to the man.
195,188148-output1,A person sitting on a bed and working on a laptop wearing glasses.,A person sitting on a bed and working on a different laptop wearing glasses.,What if it was another laptop?
196,402802-input,A woman sitting at a table with a little girl.,A woman comforting a crying little girl at the table.,let the girl cry
197,402802-output1,A woman comforting a crying little girl at the table.,A woman comforting a crying little girl at the table with a vase of tulips.,let the vase contain a tulip
198,402802-output2,A woman comforting a crying little girl at the table with a vase of tulips.,A man and woman comforting a crying little girl at the table with a vase of tulips.,let a man sit next to the girl
199,396260-input,A large piece of luggage filled with items.,A large trash can filled with items.,change the backpack into a trash can
200,396260-output1,A large trash can filled with items.,A large trash can filled with items and soda cans inside the suitcase.,add soda cans inside the suitcase
201,396260-output2,A large trash can filled with items and soda cans inside the suitcase.,Tile floor with scattered items and soda cans from a large trash can,let it be tile floor
