idx,source_prompt,target_prompt,real_image,category
151050-input,stop sign,no entry sign,1,change
151050-output1,sign,craved pumpkin next to the sign,0,add
151050-output2,an empty street,a woman jogging,0,add
222015-input,a clock,an eye,1,change
491098-input,the table,a wine bottle on the table,1,add
491098-output1,the wall,drawing of a girl on the wall,0,add
461252-input,cereal bowl,blow of broccoli and bell peppers,1,change
461252-output1,sandwich,bun,0,add
461252-output2,plate,transparent glass plate,0,change
294330-input,books,leather bound books,1,change
294330-output1,computer screen,computer displaying codes,0,add
294330-output2,office with chairs,office,0,remove
65307-input,a woman,a woman wears a hat,1,add
373776-input,teardrop-shaped cutouts,star-shaped cutouts,1,change
163866-input,woman,dog on the left side of woman,1,add
393403-input,bus,train,1,change
459898-input,zebra,wolf,1,change
459898-output1,zebra,a bird of a zebra,0,add
161062-input,an airplane on a runway,an empty runway,1,remove
246924-input,hand,hairless hand,1,remove
246924-output1,green peppers on chopping board,chopping board,0,remove
482545-input,a cat,an iguana,1,change
32818-input,a beach,person flying kite at a beach,1,add
32818-output1,bench,wooden bench,0,change
32818-output2,a beach,ducks and a bag of popcorn on a beach,0,add
534041-input,the boy,the boy with sunglasses,1,add
536595-input,white and blue hydrant,red hydrant,1,change
536595-output1,crowd,mascot and a crowd,0,add
536595-output2,a hydrant,a roadblock near a hydrant,0,add
279939-input,toilet,closed-lid toilet,1,change
358653-input,refrigerator,refrigerator with a drawing,1,add
358653-output1,the freezer,a cat on the freezer,0,add
348966-input,the drinks,the blue drinks,1,change
338924-input,basil plant,geranium plant,1,change
338924-output1,vegetable pizza,meat pizza,0,change
338924-output2,wooden tray,round white plate,0,change
286724-input,the woods,the woods with no trees,1,remove
88759-input,kitchen,kitchen with oven,1,add
88759-output1,kitchen,kitchen with watermelon,0,add
360510-input,car,truck,1,change
360510-output1,the building,sunshine on the building,0,add
360510-output2,truck,fishing poles on truck,0,add
208469-input,square pizza,round pizza,1,change
208469-output1,the pizza,a glass close to the pizza,0,add
8238-input,man,man wearing a red tie,1,add
543833-input,glass vase,blue vase,1,change
543833-output1,a pot next to a vase,a blue pot next to a vase,0,change
543833-output2,a pot,a candle near a pot,0,add
262710-input,cap,cowboy hat,1,change
104081-input,cows in the forest,a tractor and cows in the forest,1,add
104081-output1,forest,log cabin in the forest,0,add
156195-input,trees,trees with red leaves,1,change
156195-output1,the sheep,model posing next to the sheep,0,add
161128-input,no cursing sign,parking sign,1,change
161128-output1,the sky,lightning bolt in the sky,0,add
161128-output2,cars on street,a cop car on street,0,add
376839-input,people,people and a dog,1,add
376839-output1,a woman,a woman wearing a cowboy hot,0,add
475425-input,a food plate,an empty plate,1,remove
475425-output1,milk grass,soda can,0,change
446522-input,dog in a room,dog in a dining room,1,add
446522-output1,a dog,a dog and a cat,0,add
446522-output2,a chair,a floor lamp next to a chair,0,add
32777-input,man with the backpack,man with the backpack wears a hat,1,add
383220-input,snowman,squirrel,1,change
383220-output1,sky,night sky and moon,0,change
385190-input,painting,painting of flowers,1,change
319522-input,horses,white horses,1,change
67616-input,the front cat,lamborghini car,1,add
71409-input,a car,a new car,1,add
71409-output1,a sidewalk,a fire hydrant on the sidewalk,0,add
125109-input,wooden floor,red-tiled floor,1,change
125109-output1,flowers,blue flowers,0,change
125109-output2,the stove,big chimney over the stove,0,add
248403-input,woman,woman with open mouth,1,change
248403-output1,woman,blindfolded woman,0,change
318657-input,the sky,a spaceship in the sky,1,add
89648-input,people on the phones and laptop,people on the phones,1,remove
323789-input,man,laughing man,1,change
323789-output1,the wall,world map on the wall,0,add
323789-output2,man,man with curly blonde hair,0,change
278555-input,man,man wearing backpack,1,add
528266-input,man,man covers his mouth with his hand,1,change
528266-output1,pizza box,open pizza box,0,change
528266-output2,man,man has crew cut hair,0,change
376990-input,hotdog,sandwich,1,change
376990-output1,beanie,helmet,0,change
60892-input,bed,dog on a bed,1,add
60892-output1,phone on nightstand,nightstand,0,remove
532482-input,red fire hydrant,green fire hydrant,1,change
532482-output1,a fire hydrant,a fire hydrant and a dog,0,add
532482-output2,a bus,a fire truck,0,change
494413-input,the hot dog,a fork sticking out of the hot dog,1,add
75216-input,cow,mooing cow,1,change
75216-output1,cows,cows and a duck,0,add
75216-output2,cows,cows and a hut,0,add
328802-input,zebra,zebra drinks from a bucket,1,change
328802-output1,the tree,the tree has dense green leaves,0,change
328802-output2,zebra,thin and lanky zebra,0,change
324104-input,field,field and river,1,add
324104-output1,field,field and mountains,0,add
324104-output2,field,a horse in the field,0,add
137100-input,food plate with fork,food plate,1,remove
137100-output1,"food plate, glass, and bottle",food plate,0,remove
137100-output2,pizza,sandwich,0,change
229419-input,cows,cows and a tractor,1,add
229419-output1,cows,horses,0,change
229419-output2,field,cornfield,0,change
188148-input,man,man with glasses,1,add
402802-input,girl,crying girl,1,change
402802-output1,vase contains a flower,vase contains a tulip,0,change
402802-output2,a girl,a man sit next to a girl,0,add
396260-input,backpack,trash can,1,change
396260-output1,suitcase,soda cans in the suitcase,0,add
396260-output2,floor ,tile floor,0,change
197658-input,a baseball player,a ball coming towards the player,1,add
102174-input,cockatiel,cockatiel with open mouth,1,change
102174-output1,computer screen,computer screen showing a video webpage,0,change
102174-output2,computer,black computer,0,add
550000-input,boys,a girl,1,change
483357-input,the sink,a vase of flowers on the sink,1,add
326408-input,the sandwiches,a rat near the sandwiches,1,add
257558-input,the stuffed bear,a grizzly bear near the stuffed bear,1,add
257558-output1,the xmas tree,a big star on the xmas tree,0,add
257558-output2,the bears,gift boxes near the bears,0,add
377056-input,a room,a flamingo in a room,1,add
45071-input,cat,shocked cat,1,change
45071-output1,a bag,cat food next to a bag,0,add
45071-output2,ball,white ball,0,change
106172-input,computer and speakers,speakers,1,add
106172-output1,man,man wearing sunglasses,0,add
106172-output2,man,man with party hat,0,add
517548-input,toilet,toilet with open lid,1,change
517548-output1,cabinet,mirror,0,add
517548-output2,sink,white sink,0,change
297154-input,blue and yellow plane,red and white plane,1,change
297154-output1,sky,bird flying in the sky,0,add
297154-output2,a photo of a plane with text,a photo of a plane,0,remove
134689-input,a giraffe,a giraffe and a zebra,1,add
232025-input,the pitcher,the pitcher is jumping,1,change
232025-output1,the pitcher,a motorcycle behind the pitcher,0,add
232025-output2,a baseball field,a baseball field and a car,0,add
276552-input,a man,a man looking at the camera,1,change
528488-input,a frisbee,a bone,1,change
528488-output1,dog,dog waring boots,0,add
401433-input,an elephant,a leopard,1,change
401433-output1,woman,crying woman,0,change
401433-output2,man wearing cap,man wearing cowboy hat,0,add
246184-input,surfboards,an old man looks at surfboards,1,change
246184-output1,surfboards,an earthworm on the surfboard,0,add
246184-output2,a surfboard,a surfboard with a face painted on it,0,add
55241-input,a cow,a cow wearing a hat,1,add
170908-input,a room,a room with low ceiling,1,change
170908-output1,a room with a window,a room,0,remove
276703-input,car,"car with text \""CAR\""",1,change
276703-output1,the car,a bunch of flowers by the car,0,add
227117-input,the counter,a bottle of wine on the counter,1,add
67373-input,city view,sea view,1,change
67373-output1,a cup of coffee,a bottle of wine,0,change
223154-input,traffic light with green light on,traffic light,1,change
223154-output1,a road,a deer in the road,0,add
253538-input,a frisbee,a volleyball,1,change
253538-output1,a house,a mosque,0,add
253538-output2,players,players and a mascot,0,add
53423-input,the ocean,a boat in the ocean,1,add
53423-output1,the beach,a turtle on the beach,0,add
532501-input,a sink,a man in front of a sinl,1,add
532501-output1,mirror,clown face in the mirror,0,add
151761-input,baby elephant,baby elephant holding up its trunk,1,change
43917-input,food plate,beef on the plate,1,add
43917-output1,food plate,food plate with french fries,0,add
207932-input,a train,a horse and a train,1,add
360535-input,flowers,television,1,change
360535-output1,wall,a clock on the wall,0,add
360535-output2,ceiling,a ceiling fan,0,add
429227-input,a zebra,a tiger,1,change
429227-output1,a zebra,a bird on the back of the zebra,0,add
429227-output2,grass,a bed of flowers,0,add
174896-input,laptop,microwave,1,change
174896-output1,salad,tomato soup,0,add
174896-output2,a table,an orchid on a table,0,add
473420-input,traffic light,traffic light shows green,1,change
389986-input,the racket,a woman holding the racket,1,add
389986-output1,the racket,the racket with striped strings,0,change
389986-output2,the racket,a dog sit under the racket and look up at the camera,0,change
292991-input,the wall,a drawing on the wall,1,add
318189-input,American flag,Canadian flag,1,change
318189-output1,surfboard,person,0,change
318189-output2,car,sports car,0,change
273808-input,things on the floor,floor,1,remove
221213-input,the train,a railroad crossing by the train,1,add
221213-output1,the train,a mountain behind the train,0,add
312334-input,the palm trees,the palm trees on fire,1,change
313880-input,table with pizza,table with pizza and a menu,1,add
232489-input,plate,ceramic plate,1,change
232489-output1,pizza,sandwich,0,change
555495-input,the field,some flowers in the field,1,add
478407-input,man,man biting the pizza,1,change
478407-output1,man,man with ginger curly hair,0,change
478407-output2,man,man wears sunglasses,0,add
553735-input,a bus,a truck,1,add
419312-input,plate of food,cereal bowl,1,change
419312-output1,the drink,cereal box,0,change
27616-input,a bag,a brown leather luggage,1,change
459058-input,license plate,license plate with graffiti on it,1,add
459058-output1,backlight,red backlight,0,change
459058-output2,the scooter,a woman sit on the scooter,0,add
376891-input,sign,neon sign,1,change
376891-output1,doughnuts,person look towards the doughnuts,0,change
376891-output2,store,store with a lot of people,0,add
476119-input,man,man wearing a paper bag,1,add
476119-output1,a car ,a range rover,0,add
476119-output2,a man ,a cafe behind a man,0,add
542147-input,cows in a field,a field,1,remove
542147-output1,the sky,a UFO in the sky,0,add
542147-output2,a field,a lighthouse by a field,0,add
274629-input,stop sign,parking sign,1,change
274629-output1,Time megazine,Vogue megazine,0,change
274629-output2,the street,a tank on the street,0,add
534555-input,27,15,1,change
534555-output1,helmet,red helmet,0,change
534555-output2,the batter,the batter wearing pants with stripes,0,change
350054-input,cat,raccoon,1,change
350054-output1,tv,TV with the sports on,0,add
350054-output2,carpet,wooden floor,0,change
131015-input,clothes,meat,1,change
131015-output1,clothes,tie,0,change
120874-input,dog,howling dog,1,change
120874-output1,window,dog peering through the window,0,add
120874-output2,trees,lighthouse,0,add
353221-input,middle image,apples,1,change
208963-input,umbrella,blue umbrella,1,change
340971-input,television,gaming pc,1,add
196876-input,beans,milk,1,change
196876-output1,food ,fruits,0,change
282238-input,trees,one large tree,1,change
282238-output1,traffic light,a bird on the traffic light,0,add
282238-output2,crossroad,train coming to a crossroad,0,add
300994-input,4,5,1,change
300994-output1,candles,litted candles,0,change
300994-output2,the cake,a cat eating the cake,0,add
294353-input,the fork,a piece of meat on the fork,1,add
294353-output1,vase,small vase with a rose,0,change
376269-input,giraffe,giraffe with big ears,1,change
376269-output1,giraffe,giraffe big googly eyes,0,change
242543-input,the refrigerator,closed refrigerator,1,change
78468-input,truck,tractor,1,change
78468-output1,tractor,a bear cub near tractor,0,add
78468-output2,trailer with bag,trailer,0,remove
457986-input,the table,a potted plant on the table,1,add
457986-output1,sofa,a cat on the sofa,0,add
315702-input,the counter,folded towels under the counter,1,add
315702-output1,the sink,the sink be rectangle in shape,0,change
315702-output2,the sink,a rubber ducky by the sink,0,add
159791-input,refrigerator with magnets and stickers,refrigerator,1,remove
309753-input,the bananas,unripe bananas,1,change
354306-input,the shelf,a bottle of poison on the shelf,1,add
330084-input,bear,bear stick out its tongue,1,change
330084-output1,a bear,a bear and a cat,0,add
47916-input,a dog,a forest next to a dog,1,add
47916-output1,a dog,a dog with a bone,0,add
47916-output2,forest,a pond next to the forest,0,add
286753-input,the baseball player,the baseball player be wearing a skirt,1,change
229139-input,cat in a luggage,luggage,1,remove
229139-output1,suitcase,a cat next to the suitcase,0,add
99645-input,sony,TV,1,change
99645-output1,birds,a helicopter,0,change
99645-output2,the helicopter,a person falling out of the helicopter,0,add
502808-input,bathtub and a shower curtain,a shower curtain,1,change
63866-input,the table,cake on the table,1,add
63866-output1,people,dogs,0,change
104669-input,a plate of food,a plate of food and a glass of juice,1,add
581632-input,a bar,a laboratory,1,change
581632-output1,the clock,a chalkboard by the clock,0,add
163431-input,shoes,stilettos,1,change
163431-output2,the bag,a loaf of bread in the bag,0,add
343849-input,laptop,laptop showing a green web page,1,change
343849-output1,notebook,binder,0,change
343849-output2,table,a wine bottle on a table,0,add
24207-input,a sheep,a black sheep,1,change
139-input,window,window with shades closed,1,change
139-output1,woman,woman sit in a chair,0,change
139-output2,the table,a cat sleep on the floor by the table,0,add
113857-input,women shaking hands,women holding a trophy,1,change
113857-output1,women,women with red and blonde hair,0,change
113857-output2,tennis players,tennis players and a coach,0,add
122913-input,a suitcase,a racoon inside a suitcase,1,add
272953-input,a brown goat,a brown goat and a white goat,1,add
377368-input,4th,30th,1,change
377368-output1,cake with candles,cake ,0,remove
377368-output2,bear with blue nose,bear with red nose,0,change
163897-input,car with broken fender,car,1,change
163897-output1,car,car with smashed headlights,0,change
163897-output2,car in a field,car on dirt,0,change
465335-input,ball,tennis ball,1,change
357941-input,cat on a TV,cat hanging on a TV,1,change
357941-output1,cat on a TV,a mouse sit on the tv set by the cat,0,add
357941-output2,cat on a TV,a bird flies by the window in front of the cat,0,add
384346-input,man wearing hat,man wearing blue hat,1,change
456610-input,salad,hotdog,1,change
335913-input,a framed picture,a framed picture of a girl,1,change
25551-input,ambulance,food truck,1,change
25551-output1,man,man in police uniform,0,change
25551-output2,trees,building,0,add
262686-input,men,man point to another man,1,change
262686-output1,man,the man look at the camera,0,change
262686-output2,sitting man,the sitting man is smiling,0,change
221190-input,sign,yellow sign,1,change
200003-input,man,man carrying surfboard,1,change
360805-input,the cat,the cat looks at the camera,1,change
360805-output1,laptop,laptop with blue screen,0,change
360805-output2,cat,cat and cat food,0,add
478184-input,giraffe,sitting giraffe,1,change
418726-input,floor,wooden floor,1,change
62740-input,car,blue car,1,change
298318-input,rubber boat,galley,1,change
298318-output1,the galley,a dolphin jump into the galley,0,add
298318-output2,the building at the back,skyscrapers at the back,0,add
1401-input,lemon,orange,1,change
74583-input,cat,parrot,1,change
74583-output1,room with bicycle,room,0,remove
74583-output2,room,room with one floating ballon,0,add
294974-input,plane,plane with a pig logo,1,add
291004-input,remote control and iphone,remote control,1,remove
291004-output1,blue cloth,geometric-patterned cloth,0,change
291004-output2,the remote control,the remote control with an LCD display,0,change
403028-input,the counter,a pizza on the counter,1,add
403028-output1,the counter,a bottle of soda on the counter,0,add
407083-input,dog,the dog with a tennis ball on his mouth,1,add
407083-output1,man,man with shades,0,add
322829-input,the bench,a dog under the bench,1,add
322829-output1,the bench,a flower vase on the bench,0,add
393286-input,a partially peeled banana,a apple and a partially peeled banana,1,add
262283-input,flowers,red roses,1,change
490443-input,rocks,ocean,1,change
490443-output1,beach umbrella and chair,car,0,add
513712-input,food,food on a plate,1,add
513712-output1,tomatoes,oranges,0,change
498463-input,refrigerator,white refrigerator,1,change
498463-output1,refrigerator,refrigerator with stickers,0,add
498463-output2,refrigerator,a dispenser behind the refrigerator,0,add
488132-input,sheep,tiger looking at sheep,1,change
401822-input,wooden floor,tile floor,1,change
401822-output1,the stove,bowl on the stove,0,add
557067-input,bed,fruit on the bed,1,add
445397-input,the lady,the gasping lady,1,change
445397-output1,the lady,the lady wearing vintage clothes,0,change
445397-output2,wall,tv on the wall,0,add
448177-input,water tank,water tank have a lid,1,add
212834-input,the umbrella,a chair under the umbrella,1,add
45596-input,plant life along the building,building,1,remove
182673-input,gray chairs,upright piano,1,change
182673-output1,the piano,person playing the piano,0,add
182673-output2,person,person with a red shirt,0,change
367107-input,stop sign,painting,1,change
501864-input,men on horses,horses,1,remove
501864-output1,a photo with text,a photo,0,remove
501864-output2,the sky,a zeppelin float in the sky,0,add
492489-input,baseball bat,baseball bat made of wood,1,change
110327-input,food in styrofoam tray,carrots in styrofoam tray,1,add
110327-output1,food in styrofoam tray,money in styrofoam tray,0,add
110327-output2,hotdog and carrot in styrofoam tray,carrot in styrofoam tray,0,remove
531277-input,plate of food,plate of cake,1,change
531277-output1,plate,blue plate,0,change
531277-output2,plate,a glass of soda next to the plate,0,add
126182-input,refrigerator,blue refrigerator,1,change
126182-output1,the freezer,a microwave next to the freezer,0,add
126182-output2,kitchen,kitchen with an oven,0,add
195715-input,glove,a tennis ball in the glove,1,add
196878-input,flower,a glass of wine,1,change
196878-output1,dinning table with a candle stick,dining table,0,remove
303257-input,elephant,elephant curling its trunk,1,change
303257-output1,elephant,elephant with smiley face,0,add
303257-output2,elephant and rock,elephant,0,remove
516000-input,noodels,rice,1,change
516000-output1,food plate,food plate with sauce,0,add
516000-output2,veggies,chicken,0,change
536798-input,the boy,the boy is crying,1,change
377212-input,dog,dog wearing a backwards baseball cap,1,add
377212-output1,baseball cap,"baseball cap has the letter \""A\"" on it",0,change
377212-output2,dog,dog smoking a pipe,0,add
87017-input,woman and horse,horse,1,remove
87017-output1,horse,horse with a horn,0,add
87135-input,road signs,stop sign,1,change
87135-output1,road signs,sheep walk near the road signs,0,add
458763-input,wall,a painting of Santa Claus,1,add
538116-input,water,soda can,1,change
286656-input,bottle,syringe,1,change
286656-output1,bucket,blue bucket,0,change
355677-input,the beach,sandcastle on the beach,1,add
342387-input,hats,chef hats,1,change
554364-input,kitchen,ninja in a kitchen,1,add
188439-input,truck driving on a road,truck driving on a dirt road,1,change
407574-input,the bananas,a person to the left of the bananas,1,add
407574-output1,the unripe bananas on the top,the ripe bananas on the top,0,change
407574-output2,wooden pole,metal pole,0,change
97579-input,man,man looking at the camera,1,change
97579-output1,woman,woman holds a banana,0,change
97579-output2,woman,woman looking at the camera,0,change
556775-input,laptop on the table,the table,1,remove
556775-output1,the couch,the dog on the couch,0,add
229171-input,a laptop,a laptop showing a picture of an elephant,1,change
229171-output1,a laptop,a laptop showing a picture of an elephant,0,change
191193-input,dog,brown dog,1,change
442414-input,horse,lion,1,change
442414-output1,woman,little boy,0,change
442414-output2,people,people and a train,0,add
513484-input,bear,bear wears a shirt,1,add
513484-output1,bear,bear with a hat,0,add
507918-input,goats,person taking pictures of the goats,1,add
62398-input,a cat,a cat standing,1,change
62398-output1,cats,one white cat,0,remove
540100-input,"chicken, broccoli and cheese",rice,1,change
540100-output1,bowl,yellow bowl,0,change
540100-output2,bowl,salt next to the bowl,0,add
108649-input,a cap and sunglasses,a cap,1,remove
108649-output1,cap on glove,cap on wooden block,0,change
108649-output2,block,a small action figure next to the block,0,add
377772-input,bunk bed,single bed,1,change
377772-output1,vase,vase with red flowers,0,add
482775-input,a plate,a cake on the plate,1,add
482775-output1,a plate,a glass of juice next to the plate,0,add
482775-output2,a plate,a jar of juice next to the plate,0,add
499730-input,stop sign,go sign,1,change
499730-output1,the bottom sign,a clock,0,change
499730-output2,the go sign,a parrot on top of the go sign,0,add
509028-input,people,people faceing the building,1,change
509028-output1,the building,the building with a balcony,0,add
433605-input,bananas,dark bananas,1,change
433605-output1,laptop,laptop is showing some fruits,0,change
433605-output2,a laptop and a mouse,a mouse,0,remove
558538-input,stop sign,exit sign,1,change
558538-output1,the garage,a car driving out of the garage,0,add
558538-output2,the two houses,kids playing in front of the two houses,0,add
204804-input,the chair,a king sitting on the chair,1,add
449125-input,frisbee,beach ball,1,change
139306-input,a knife,a dull knife,1,change
139306-output1,sandwich,hotdog,0,change
507958-input,cabinets,painted cabinets,1,change
507958-output1,kitchen,kitchen with butterflies,0,add
507958-output2,wall,flower wallpaper,0,add
78689-input,dog,panting dog,1,change
78689-output1,a laptop,a laptop showing an error message,0,change
78689-output2,two laptops on a bed,a laptop on a bed,0,remove
115146-input,wall,a drawing of a girl on the wall,1,add
359687-input,a boat,a man sitting in a boat,1,add
359687-output1,the wooden dock,a dog on the wooden dock,0,add
359687-output2,sky,fireworks in the sky,0,add
436284-input,wood,a volcano,1,change
436284-output1,a volcano,a volcano with lava flowing,0,add
436284-output2,a volcano,a volcano and smoke,0,add
455879-input,military hats,sombrero hats,1,change
455879-output1,blood on white block,white block,0,remove
448409-input,chair,chair  made by black leather,1,change
204777-input,man,man putting a sandwich in his mouth,1,change
204777-output1,the old man,the old man be dressed in a military uniform,0,change
204777-output2,the man,the man has a curly afro,0,change
528875-input,lunch box,lunch box and a tennis ball,1,add
172406-input,a horse wearing blinders,a horse,1,remove
524311-input,a man,a man wearing a tuxedo,1,change
524311-output1,a man,a blonde man,0,change
524311-output2,Wii remote,carrot,0,change
246787-input,a sign,a painting,1,change
246787-output1,wall,painted wall,0,change
246787-output2,table,glasses of champagne on the table,0,add
229779-input,surfboard,ski,1,change
229779-output1,the ocean,a yacht in the ocean,0,add
229779-output2,the ocean,the ocean with an island at the back,0,add
262162-input,a chair,a person on a chair,1,add
442242-input,a lighthouse,two lighthouses,1,add
460929-input,a bottle,a beer,1,change
460929-output1,a hotdog with mustard,a hotdog,0,remove
229383-input,a woman,a woman reading a book,1,change
255010-input,hats,white hats,1,change
432216-input,a person,a brown bear,1,change
369675-input,a train,a white train,1,change
369675-output1,passengers on a train,a train,0,remove
369675-output2,a train,a small dog next to a train,0,add
522782-input,monitors,one monitor,1,remove
522782-output1,monitor screen,a picture of a car on the monitor screen,0,change
547637-input,a baseball,an orange,1,change
164224-input,bedroom with chairs,bedroom,1,remove
164224-output1,the wall,an abstract painting on the wall,0,add
164224-output2,pillows,a big teddy bear on the pillows,0,add
317424-input,graffiti,the face of a panda,1,change
392850-input,a clear bowl,a bowl of rice,1,add
392850-output1,the fruit,a measuring cup by the fruit,0,add
392850-output2,the cutting board,a stick of butter on the cutting board,0,add
308793-input,the mountain,a fox running up the mountain,1,add
91080-input,a kettle,a pen,1,change
91080-output1,a kitchen,a kitchen with a fruit basket,0,add
168784-input,a tie,a bow tie,1,change
466965-input,a parrot,a parrot with a hat,1,add
484074-input,a zebra,a man sitting on a zebra,1,add
182496-input,hotdogs,hotdogs topped with ice cream,1,add
182496-output1,ice cream,ice cream with cherry,0,add
41846-input,pizza,pizza with pepperoni,1,add
524459-input,man,man looking at laptop,1,change
524459-output1,man,man in a striped shirt,0,change
524459-output2,man,man with pencil,0,change
237041-input,snow,gorilla in snow,1,add
237041-output1,the sky,lightning bolts in the sky,0,add
237041-output2,lightning,helicopter being struck by lightning,0,add
50306-input,pizza,crystal ball,1,change
50306-output1,the utensils and drinks,chessboard,0,change
319494-input,the boat,a big whale jump over the boat,1,add
62745-input,angry birds,flowers,1,change
168690-input,computer,computer with blank screen,1,change
168690-output1,keyboard,black keyboard,0,change
168690-output2,bed,green pillow on bed,0,add
40471-input,two windows,one window,1,change
74964-input,a plate,a plate of roast chicken,1,add
74964-output1,a bowl,a bowl of berries,0,add
74964-output2,a table,a tub of ice cream on a table,0,add
421476-input,a food plate,a food plate with some Portbella,1,add
140021-input,scissor,blue scissor,1,change
26221-input,the couch,a lion laying on the couch,1,add
94751-input,seaside,seaside with a lighthouse,1,add
15272-input,a tree,a green bird perched on a tree,1,add
15272-output1,a tree,a monkey sit on a tree,0,add
57377-input,the stream,a black bear in the stream,1,add
499037-input,a banner,a banner with no text,1,remove
499037-output1,man,man wearing a ski mask,1,add
321394-input,bed,blue bed,1,change
321394-output1,a bedroom,a bedroom with a red dresser on the left,0,add
321394-output2,a window,a large window,0,change
1330-input,a guy,a guy wearing long pants,1,change
411530-input,people on snow mountain,snow mountain,1,remove
411530-output1,snow mountain,a polar bear on snow mountain,0,add
411530-output2,the sky,a bunch of birds,0,add
30-input,the vase,a squirrel be looking at the vase,1,change
523599-input,a plane,a superhero,1,change
523599-output1,a superhero,a dog next to the hero,0,add
269038-input,man ,man riding scooter,1,add
410110-input,purses and umbrella,purses,1,remove
410110-output1,a purse,a open purse with a cellphone,0,change
410110-output2,purses,a woman looks at purses,0,change
380097-input,counter,white counter,1,change
189017-input,a street,lots of baby ducklings in a street,1,add
434222-input,computer screen,computer screen showing cat pictures,1,add
434222-output1,cat,cat eating a donut,0,change
434222-output2,computer screen,a glass of water next to computer screen,0,add
183672-input,man,man wearing orange shirt,1,change
183672-output1,man,man holding a banana,0,add
107168-input,giraffe,standing giraffe,1,change
100547-input,cheeseburgers,donuts,1,change
100547-output1,donuts,donuts on a wooden table,0,add
483389-input,the mashed potatoes,a fork in the mashed potatoes,1,add
340184-input,a room,a room with one rabbit,1,add
340184-output1,a room with one rabbit,a room with two rabbits,0,add
318815-input,a surfboard,a skateboard,1,change
